country,primer,ultimo,n_q,usable
brazil,2004Q1,2026Q3,91,True
china,2004Q1,2026Q3,91,True
chile,2004Q1,2026Q3,91,True
turkey,2004Q1,2026Q3,91,True
southafrica,2004Q1,2026Q3,91,True
colombia,2004Q1,2026Q3,91,True
mexico,2004Q1,2026Q3,91,True
malaysia,2004Q1,2026Q3,91,True
southkorea,2004Q1,2026Q3,91,True
philippines,2004Q1,2026Q3,91,True
peru,2004Q1,2026Q3,91,True
indonesia,2004Q4,2026Q3,88,True
argentina,2005Q2,2026Q3,78,True
egypt,2006Q4,2026Q3,26,False
bulgaria,2012Q3,2015Q4,14,False
hungary,2012Q3,2015Q4,14,False
poland,2012Q3,2015Q4,14,False
russia,2012Q3,2015Q4,14,False
pakistan,2006Q2,2026Q3,7,False
